history_id,opportunity_id,from_stage,to_stage,changed_at,changed_by_seller_id
H0000109,O000030,Proposal,Negotiation,2024-11-26 15:00:00,S003
H0000110,O000030,Negotiation,Closed Won,2024-12-22 17:00:00,S003
H0000111,O000031,,Prospecting,2025-06-17 09:00:00,S030
H0000112,O000032,,Prospecting,2024-11-28 09:00:00,S008
H0000113,O000032,Prospecting,Closed Lost,2024-12-31 13:00:00,S008
H0000114,O000033,,Prospecting,2023-09-03 09:00:00,S019
H0000115,O000033,Prospecting,Closed Lost,2023-09-19 15:00:00,S019
H0000116,O000034,,Prospecting,2023-07-04 09:00:00,S040
H0000117,O000034,Prospecting,Qualification,2023-07-15 11:00:00,S040
H0000118,O000034,Qualification,Proposal,2023-09-20 12:00:00,S040
H0000119,O000034,Proposal,Negotiation,2023-10-04 17:00:00,S040
H0000120,O000034,Negotiation,Closed Won,2023-10-17 09:00:00,S040
H0000121,O000035,,Prospecting,2025-03-22 09:00:00,S007
H0000122,O000035,Prospecting,Closed Lost,2025-06-02 15:00:00,S007
H0000123,O000036,,Prospecting,2025-05-02 09:00:00,S021
H0000124,O000036,Prospecting,Qualification,2025-05-16 11:00:00,S021
H0000125,O000036,Qualification,Proposal,2025-06-16 14:00:00,S021
H0000126,O000036,Proposal,Negotiation,2025-06-26 14:00:00,S021
H0000127,O000037,,Prospecting,2023-03-20 09:00:00,S009
H0000128,O000037,Prospecting,Closed Lost,2023-05-21 15:00:00,S009
H0000129,O000038,,Prospecting,2024-09-20 09:00:00,S022
H0000130,O000038,Prospecting,Qualification,2024-10-18 12:00:00,S022
H0000131,O000038,Qualification,Proposal,2024-10-24 13:00:00,S022
H0000132,O000038,Proposal,Negotiation,2024-11-07 13:00:00,S022
H0000133,O000038,Negotiation,Closed Lost,2024-11-11 10:00:00,S022
H0000134,O000039,,Prospecting,2025-02-18 09:00:00,S016
H0000135,O000039,Prospecting,Qualification,2025-02-25 13:00:00,S016
H0000136,O000039,Qualification,Proposal,2025-03-17 12:00:00,S016
H0000137,O000039,Proposal,Negotiation,2025-03-24 08:00:00,S016
H0000138,O000039,Negotiation,Closed Won,2025-04-10 17:00:00,S016
H0000139,O000040,,Prospecting,2024-08-31 09:00:00,S005
H0000140,O000040,Prospecting,Qualification,2024-10-08 14:00:00,S005
H0000141,O000040,Qualification,Proposal,2024-10-27 08:00:00,S005
H0000142,O000040,Proposal,Negotiation,2024-10-30 12:00:00,S005
H0000143,O000040,Negotiation,Closed Won,2024-11-11 13:00:00,S005
H0000144,O000041,,Prospecting,2025-05-06 09:00:00,S009
H0000145,O000041,Prospecting,Qualification,2025-05-22 14:00:00,S009
H0000146,O000041,Qualification,Proposal,2025-05-27 14:00:00,S009
H0000147,O000042,,Prospecting,2024-02-01 09:00:00,S004
H0000148,O000042,Prospecting,Closed Lost,2024-03-17 15:00:00,S004
H0000149,O000043,,Prospecting,2025-03-12 09:00:00,S002
H0000150,O000043,Prospecting,Closed Lost,2025-05-21 13:00:00,S002
H0000151,O000044,,Prospecting,2024-07-12 09:00:00,S017
H0000152,O000044,Prospecting,Qualification,2024-07-16 16:00:00,S017
H0000153,O000044,Qualification,Proposal,2024-07-29 17:00:00,S017
H0000154,O000044,Proposal,Negotiation,2024-08-15 08:00:00,S017
H0000155,O000044,Negotiation,Closed Won,2024-08-17 09:00:00,S017
H0000156,O000045,,Prospecting,2023-11-24 09:00:00,S028
H0000157,O000045,Prospecting,Qualification,2023-12-17 08:00:00,S028
H0000158,O000045,Qualification,Proposal,2024-01-10 12:00:00,S028
H0000159,O000045,Proposal,Negotiation,2024-01-10 11:00:00,S028
H0000160,O000045,Negotiation,Closed Won,2024-01-17 13:00:00,S028
H0000161,O000046,,Prospecting,2024-12-26 09:00:00,S029
H0000162,O000046,Prospecting,Qualification,2024-12-26 16:00:00,S029
H0000163,O000046,Qualification,Proposal,2025-01-02 14:00:00,S029
H0000164,O000046,Proposal,Closed Lost,2025-01-06 09:00:00,S029
H0000165,O000047,,Prospecting,2024-09-13 09:00:00,S005
H0000166,O000047,Prospecting,Qualification,2024-09-16 15:00:00,S005
H0000167,O000047,Qualification,Proposal,2024-09-21 10:00:00,S005
H0000168,O000047,Proposal,Negotiation,2024-11-30 17:00:00,S005
H0000169,O000047,Negotiation,Closed Won,2025-02-10 09:00:00,S005
H0000170,O000048,,Prospecting,2025-05-29 09:00:00,S017
H0000171,O000048,Prospecting,Qualification,2025-05-31 17:00:00,S017
H0000172,O000048,Qualification,Proposal,2025-06-13 12:00:00,S017
H0000173,O000048,Proposal,Negotiation,2025-06-14 16:00:00,S017
H0000174,O000048,Negotiation,Closed Won,2025-06-19 15:00:00,S017
H0000175,O000049,,Prospecting,2024-01-23 09:00:00,S038
H0000176,O000049,Prospecting,Closed Lost,2024-03-04 13:00:00,S038
H0000177,O000050,,Prospecting,2024-05-11 09:00:00,S016
H0000178,O000050,Prospecting,Qualification,2024-05-18 11:00:00,S016
H0000179,O000050,Qualification,Proposal,2024-07-20 10:00:00,S016
H0000180,O000050,Proposal,Negotiation,2024-08-14 15:00:00,S016
H0000181,O000050,Negotiation,Closed Lost,2024-09-04 12:00:00,S016
H0000182,O000051,,Prospecting,2023-04-12 09:00:00,S021
H0000183,O000051,Prospecting,Qualification,2023-07-12 17:00:00,S021
H0000184,O000051,Qualification,Proposal,2023-07-23 12:00:00,S021
H0000185,O000051,Proposal,Negotiation,2023-08-02 15:00:00,S021
H0000186,O000051,Negotiation,Closed Won,2023-08-10 17:00:00,S021
H0000187,O000052,,Prospecting,2023-02-02 09:00:00,S035
H0000188,O000052,Prospecting,Qualification,2023-02-02 16:00:00,S035
H0000189,O000052,Qualification,Proposal,2023-02-06 13:00:00,S035
H0000190,O000052,Proposal,Closed Lost,2023-02-19 16:00:00,S035
H0000191,O000053,,Prospecting,2025-03-05 09:00:00,S002
H0000192,O000053,Prospecting,Qualification,2025-03-30 08:00:00,S002
H0000193,O000053,Qualification,Proposal,2025-05-19 11:00:00,S002
H0000194,O000053,Proposal,Negotiation,2025-06-02 08:00:00,S002
H0000195,O000053,Negotiation,Closed Won,2025-06-27 14:00:00,S002
H0000196,O000054,,Prospecting,2024-08-31 09:00:00,S012
H0000197,O000054,Prospecting,Qualification,2024-09-01 11:00:00,S012
H0000198,O000054,Qualification,Proposal,2024-09-05 14:00:00,S012
H0000199,O000054,Proposal,Negotiation,2024-09-20 08:00:00,S012
H0000200,O000054,Negotiation,Closed Won,2024-09-22 15:00:00,S012
H0000201,O000055,,Prospecting,2023-08-08 09:00:00,S036
H0000202,O000055,Prospecting,Qualification,2023-09-16 13:00:00,S036
H0000203,O000055,Qualification,Proposal,2023-10-06 16:00:00,S036
H0000204,O000055,Proposal,Negotiation,2023-10-10 10:00:00,S036
H0000205,O000055,Negotiation,Closed Won,2023-12-12 15:00:00,S036
H0000206,O000056,,Prospecting,2023-09-01 09:00:00,S001
H0000207,O000056,Prospecting,Qualification,2023-09-25 14:00:00,S001
H0000208,O000056,Qualification,Proposal,2023-09-25 09:00:00,S001
H0000209,O000056,Proposal,Negotiation,2023-09-29 16:00:00,S001
H0000210,O000056,Negotiation,Closed Won,2023-11-29 10:00:00,S001
H0000211,O000057,,Prospecting,2023-02-09 09:00:00,S036
H0000212,O000057,Prospecting,Qualification,2023-03-03 16:00:00,S036
H0000213,O000057,Qualification,Closed Lost,2023-03-08 12:00:00,S036
H0000214,O000058,,Prospecting,2025-05-31 09:00:00,S021
H0000215,O000059,,Prospecting,2024-09-07 09:00:00,S038
H0000216,O000059,Prospecting,Qualification,2024-11-15 16:00:00,S038
H0000217,O000059,Qualification,Closed Lost,2024-11-28 14:00:00,S038
H0000218,O000060,,Prospecting,2023-04-20 09:00:00,S026
H0000219,O000060,Prospecting,Closed Lost,2023-05-12 15:00:00,S026
H0000220,O000061,,Prospecting,2023-03-29 09:00:00,S037
H0000221,O000061,Prospecting,Qualification,2023-04-22 16:00:00,S037
H0000222,O000061,Qualification,Proposal,2023-05-21 15:00:00,S037
H0000223,O000061,Proposal,Closed Lost,2023-06-18 11:00:00,S037
H0000224,O000062,,Prospecting,2023-09-27 09:00:00,S002
H0000225,O000062,Prospecting,Qualification,2023-11-01 17:00:00,S002
H0000226,O000062,Qualification,Closed Lost,2024-01-22 09:00:00,S002
H0000227,O000063,,Prospecting,2024-06-29 09:00:00,S021
H0000228,O000063,Prospecting,Qualification,2024-07-16 14:00:00,S021
H0000229,O000063,Qualification,Proposal,2024-07-31 14:00:00,S021
H0000230,O000063,Proposal,Negotiation,2024-08-02 15:00:00,S021
H0000231,O000063,Negotiation,Closed Won,2024-09-30 15:00:00,S021
H0000232,O000064,,Prospecting,2025-02-14 09:00:00,S008
H0000233,O000064,Prospecting,Qualification,2025-02-14 10:00:00,S008
H0000234,O000064,Qualification,Proposal,2025-03-16 14:00:00,S008
H0000235,O000064,Proposal,Negotiation,2025-03-17 10:00:00,S008
H0000236,O000064,Negotiation,Closed Won,2025-05-22 11:00:00,S008
H0000237,O000065,,Prospecting,2024-04-19 09:00:00,S005
H0000238,O000065,Prospecting,Qualification,2024-05-27 14:00:00,S005
H0000239,O000065,Qualification,Proposal,2024-07-23 13:00:00,S005
H0000240,O000065,Proposal,Closed Lost,2024-07-25 13:00:00,S005
H0000241,O000066,,Prospecting,2025-04-23 09:00:00,S034
H0000242,O000066,Prospecting,Qualification,2025-04-26 08:00:00,S034
H0000243,O000066,Qualification,Proposal,2025-06-12 15:00:00,S034
H0000244,O000066,Proposal,Negotiation,2025-06-14 12:00:00,S034
H0000245,O000066,Negotiation,Closed Won,2025-06-25 17:00:00,S034
H0000246,O000067,,Prospecting,2024-01-10 09:00:00,S026
H0000247,O000067,Prospecting,Qualification,2024-02-04 08:00:00,S026
H0000248,O000067,Qualification,Proposal,2024-02-23 15:00:00,S026
H0000249,O000067,Proposal,Negotiation,2024-02-29 12:00:00,S026
H0000250,O000067,Negotiation,Closed Won,2024-03-02 11:00:00,S026
H0000251,O000068,,Prospecting,2025-05-17 09:00:00,S019
H0000252,O000068,Prospecting,Qualification,2025-06-01 12:00:00,S019
H0000253,O000068,Qualification,Proposal,2025-06-02 15:00:00,S019
H0000254,O000068,Proposal,Negotiation,2025-06-20 08:00:00,S019
H0000255,O000069,,Prospecting,2025-02-02 09:00:00,S002
H0000256,O000069,Prospecting,Qualification,2025-02-23 08:00:00,S002
H0000257,O000069,Qualification,Proposal,2025-03-13 10:00:00,S002
H0000258,O000069,Proposal,Negotiation,2025-03-18 08:00:00,S002
H0000259,O000069,Negotiation,Closed Won,2025-04-23 12:00:00,S002
H0000260,O000070,,Prospecting,2024-12-20 09:00:00,S040
H0000261,O000070,Prospecting,Qualification,2025-01-12 13:00:00,S040
H0000262,O000070,Qualification,Proposal,2025-03-01 14:00:00,S040
H0000263,O000070,Proposal,Negotiation,2025-03-20 12:00:00,S040
H0000264,O000070,Negotiation,Closed Lost,2025-03-26 10:00:00,S040
H0000265,O000071,,Prospecting,2024-11-18 09:00:00,S010
H0000266,O000071,Prospecting,Qualification,2024-11-22 11:00:00,S010
H0000267,O000071,Qualification,Proposal,2024-12-03 17:00:00,S010
H0000268,O000071,Proposal,Negotiation,2024-12-14 14:00:00,S010
H0000269,O000071,Negotiation,Closed Won,2024-12-31 11:00:00,S010
H0000270,O000072,,Prospecting,2023-08-24 09:00:00,S031
H0000271,O000072,Prospecting,Closed Lost,2023-10-23 17:00:00,S031
H0000272,O000073,,Prospecting,2024-02-09 09:00:00,S034
H0000273,O000073,Prospecting,Closed Lost,2024-03-20 10:00:00,S034
H0000274,O000074,,Prospecting,2023-06-21 09:00:00,S017
H0000275,O000074,Prospecting,Qualification,2023-06-21 16:00:00,S017
H0000276,O000074,Qualification,Proposal,2023-07-21 11:00:00,S017
H0000277,O000074,Proposal,Negotiation,2023-08-07 11:00:00,S017
H0000278,O000074,Negotiation,Closed Won,2023-08-15 15:00:00,S017
H0000279,O000075,,Prospecting,2024-02-28 09:00:00,S015
H0000280,O000075,Prospecting,Qualification,2024-04-21 11:00:00,S015
H0000281,O000075,Qualification,Proposal,2024-06-15 15:00:00,S015
H0000282,O000075,Proposal,Negotiation,2024-06-28 12:00:00,S015
H0000283,O000075,Negotiation,Closed Won,2024-07-27 12:00:00,S015
H0000284,O000076,,Prospecting,2024-07-07 09:00:00,S018
H0000285,O000076,Prospecting,Closed Lost,2024-07-22 17:00:00,S018
H0000286,O000077,,Prospecting,2024-08-18 09:00:00,S017
H0000287,O000077,Prospecting,Qualification,2024-08-24 11:00:00,S017
H0000288,O000077,Qualification,Proposal,2024-08-31 15:00:00,S017
H0000289,O000077,Proposal,Closed Lost,2024-09-06 11:00:00,S017
H0000290,O000078,,Prospecting,2024-06-27 09:00:00,S026
H0000291,O000078,Prospecting,Qualification,2024-07-11 09:00:00,S026
H0000292,O000078,Qualification,Proposal,2024-07-17 10:00:00,S026
H0000293,O000078,Proposal,Negotiation,2024-07-19 08:00:00,S026
H0000294,O000078,Negotiation,Closed Won,2024-07-22 15:00:00,S026
H0000295,O000079,,Prospecting,2023-03-09 09:00:00,S033
H0000296,O000079,Prospecting,Closed Lost,2023-07-27 16:00:00,S033
H0000297,O000080,,Prospecting,2025-02-02 09:00:00,S002
H0000298,O000080,Prospecting,Qualification,2025-02-26 08:00:00,S002
H0000299,O000080,Qualification,Proposal,2025-03-16 12:00:00,S002
H0000300,O000080,Proposal,Negotiation,2025-04-18 12:00:00,S002
H0000301,O000080,Negotiation,Closed Won,2025-05-04 16:00:00,S002
H0000302,O000081,,Prospecting,2023-03-22 09:00:00,S022
H0000303,O000081,Prospecting,Qualification,2023-05-28 16:00:00,S022
H0000304,O000081,Qualification,Closed Lost,2023-06-03 14:00:00,S022
H0000305,O000082,,Prospecting,2023-11-07 09:00:00,S005
H0000306,O000082,Prospecting,Closed Lost,2023-11-24 12:00:00,S005
H0000307,O000083,,Prospecting,2024-12-22 09:00:00,S016
H0000308,O000083,Prospecting,Qualification,2025-02-05 08:00:00,S016
H0000309,O000083,Qualification,Proposal,2025-02-16 11:00:00,S016
H0000310,O000083,Proposal,Negotiation,2025-03-28 11:00:00,S016
H0000311,O000083,Negotiation,Closed Won,2025-03-30 15:00:00,S016
H0000312,O000084,,Prospecting,2023-11-02 09:00:00,S016
H0000313,O000084,Prospecting,Closed Lost,2023-12-12 15:00:00,S016
H0000314,O000085,,Prospecting,2023-09-04 09:00:00,S019
H0000315,O000085,Prospecting,Closed Lost,2023-09-29 14:00:00,S019
H0000316,O000086,,Prospecting,2023-12-01 09:00:00,S039
H0000317,O000086,Prospecting,Qualification,2024-01-09 10:00:00,S039
H0000318,O000086,Qualification,Closed Lost,2024-01-12 16:00:00,S039
H0000319,O000087,,Prospecting,2023-08-19 09:00:00,S026
H0000320,O000087,Prospecting,Qualification,2023-08-19 13:00:00,S026
H0000321,O000087,Qualification,Proposal,2023-09-29 14:00:00,S026
H0000322,O000087,Proposal,Negotiation,2023-10-24 17:00:00,S026
H0000323,O000087,Negotiation,Closed Won,2023-11-08 13:00:00,S026
H0000324,O000088,,Prospecting,2023-10-20 09:00:00,S004
H0000325,O000088,Prospecting,Qualification,2023-10-24 09:00:00,S004
H0000326,O000088,Qualification,Proposal,2023-11-16 08:00:00,S004
H0000327,O000088,Proposal,Closed Lost,2023-11-28 14:00:00,S004
H0000328,O000089,,Prospecting,2023-02-09 09:00:00,S005
H0000329,O000089,Prospecting,Qualification,2023-03-28 13:00:00,S005
H0000330,O000089,Qualification,Closed Lost,2023-08-27 11:00:00,S005
H0000331,O000090,,Prospecting,2024-12-06 09:00:00,S040
H0000332,O000090,Prospecting,Qualification,2024-12-11 13:00:00,S040
H0000333,O000090,Qualification,Proposal,2025-02-27 10:00:00,S040
H0000334,O000090,Proposal,Negotiation,2025-03-16 17:00:00,S040
H0000335,O000090,Negotiation,Closed Won,2025-04-21 14:00:00,S040
H0000336,O000091,,Prospecting,2024-07-24 09:00:00,S038
H0000337,O000091,Prospecting,Qualification,2024-09-10 08:00:00,S038
H0000338,O000091,Qualification,Proposal,2024-10-10 17:00:00,S038
H0000339,O000091,Proposal,Negotiation,2024-10-28 15:00:00,S038
H0000340,O000091,Negotiation,Closed Won,2024-10-29 16:00:00,S038
H0000341,O000092,,Prospecting,2025-05-21 09:00:00,S033
H0000342,O000092,Prospecting,Qualification,2025-05-23 16:00:00,S033
H0000343,O000092,Qualification,Proposal,2025-06-16 15:00:00,S033
H0000344,O000092,Proposal,Negotiation,2025-06-24 16:00:00,S033
H0000345,O000093,,Prospecting,2023-03-14 09:00:00,S012
H0000346,O000093,Prospecting,Qualification,2023-03-24 16:00:00,S012
H0000347,O000093,Qualification,Closed Lost,2023-04-21 13:00:00,S012
H0000348,O000094,,Prospecting,2025-05-01 09:00:00,S011
H0000349,O000094,Prospecting,Qualification,2025-05-12 11:00:00,S011
H0000350,O000094,Qualification,Proposal,2025-05-17 09:00:00,S011
H0000351,O000094,Proposal,Negotiation,2025-06-27 14:00:00,S011
H0000352,O000094,Negotiation,Closed Won,2025-06-29 09:00:00,S011
H0000353,O000095,,Prospecting,2025-06-20 09:00:00,S006
H0000354,O000096,,Prospecting,2024-07-14 09:00:00,S006
H0000355,O000096,Prospecting,Closed Lost,2024-08-19 13:00:00,S006
H0000356,O000097,,Prospecting,2024-01-14 09:00:00,S023
H0000357,O000097,Prospecting,Qualification,2024-01-21 14:00:00,S023
H0000358,O000097,Qualification,Proposal,2024-02-03 17:00:00,S023
H0000359,O000097,Proposal,Negotiation,2024-02-08 08:00:00,S023
H0000360,O000097,Negotiation,Closed Won,2024-02-18 12:00:00,S023
H0000361,O000098,,Prospecting,2024-05-01 09:00:00,S012
H0000362,O000098,Prospecting,Qualification,2024-05-03 15:00:00,S012
H0000363,O000098,Qualification,Proposal,2024-05-05 13:00:00,S012
H0000364,O000098,Proposal,Negotiation,2024-05-10 13:00:00,S012
H0000365,O000098,Negotiation,Closed Won,2024-05-22 14:00:00,S012
H0000366,O000099,,Prospecting,2023-01-26 09:00:00,S038
H0000367,O000099,Prospecting,Closed Lost,2023-06-02 09:00:00,S038
H0000368,O000100,,Prospecting,2023-06-29 09:00:00,S012
H0000369,O000100,Prospecting,Closed Lost,2023-08-21 16:00:00,S012
H0000370,O000101,,Prospecting,2025-06-01 09:00:00,S002
H0000371,O000101,Prospecting,Qualification,2025-06-10 15:00:00,S002
H0000372,O000102,,Prospecting,2023-05-23 09:00:00,S028
H0000373,O000102,Prospecting,Qualification,2023-06-21 10:00:00,S028
H0000374,O000102,Qualification,Proposal,2023-06-25 08:00:00,S028
H0000375,O000102,Proposal,Negotiation,2023-07-09 12:00:00,S028
H0000376,O000102,Negotiation,Closed Won,2023-07-10 13:00:00,S028
H0000377,O000103,,Prospecting,2025-02-17 09:00:00,S005
H0000378,O000103,Prospecting,Closed Lost,2025-03-27 10:00:00,S005
H0000379,O000104,,Prospecting,2023-08-23 09:00:00,S036
H0000380,O000104,Prospecting,Qualification,2023-08-24 12:00:00,S036
H0000381,O000104,Qualification,Proposal,2023-09-04 11:00:00,S036
H0000382,O000104,Proposal,Negotiation,2023-09-09 09:00:00,S036
H0000383,O000104,Negotiation,Closed Lost,2023-09-18 17:00:00,S036
H0000384,O000105,,Prospecting,2025-06-14 09:00:00,S027
H0000385,O000105,Prospecting,Qualification,2025-06-23 17:00:00,S027
H0000386,O000105,Qualification,Proposal,2025-06-25 08:00:00,S027
H0000387,O000105,Proposal,Closed Lost,2025-06-26 13:00:00,S027
H0000388,O000106,,Prospecting,2024-12-20 09:00:00,S024
H0000389,O000106,Prospecting,Qualification,2024-12-31 17:00:00,S024
H0000390,O000106,Qualification,Proposal,2025-03-18 15:00:00,S024
H0000391,O000106,Proposal,Negotiation,2025-04-21 12:00:00,S024
H0000392,O000106,Negotiation,Closed Won,2025-05-23 15:00:00,S024
H0000393,O000107,,Prospecting,2024-11-20 09:00:00,S035
H0000394,O000107,Prospecting,Qualification,2024-11-30 09:00:00,S035
H0000395,O000107,Qualification,Proposal,2024-12-05 17:00:00,S035
H0000396,O000107,Proposal,Negotiation,2024-12-23 08:00:00,S035
H0000397,O000107,Negotiation,Closed Won,2024-12-31 12:00:00,S035
