opportunity_id,opportunity_name,account_id,seller_id,product,lead_source,stage,probability,amount,currency,created_date,expected_close_date,actual_close_date,last_modified_ts
O001341,Vertex Consulting Co. - Security Bundle,A0411,S012,Security Bundle,Outbound,Closed Lost,0.0,38000.0,USD,2024-03-15,2024-07-20,2024-04-14,2024-04-14 11:25:00
O000458,North Retail S.A. - Security Bundle,A0343,S016,Security Bundle,Partner,Qualification,0.25,49400.0,USD,2025-06-08,2025-08-29,,2025-06-28 18:00:00
O001996,Orbit Pharma Holdings - Security Bundle,A0460,S009,Security Bundle,Outbound,Closed Lost,0.0,12500.0,USD,2023-02-03,2023-06-02,2023-02-25,2023-02-25 15:04:00
O002366,Prime Labs Holdings - Support Plan,A0024,S019,Support Plan,Partner,Closed Lost,0.0,3100.0,USD,2024-03-26,2024-07-31,2024-04-15,2024-04-15 11:50:00
O002994,Cedar Studios Holdings - Support Plan,A0072,S028,Support Plan,Partner,Closed Lost,0.0,16000.0,USD,2023-01-26,2023-04-19,2023-03-28,2023-03-28 12:54:00
O000486,Nova Logistics Inc. - Collaboration Tools,A0387,S016,Collaboration Tools,Referral,Closed Lost,0.0,11900.0,USD,2023-01-27,2023-04-30,2023-05-07,2023-05-07 11:06:00
O000638,Pioneer Learning Holdings - Collaboration Tools,A0314,S005,Collaboration Tools,Partner,Closed Lost,0.0,8700.0,usd,2023-11-20,2024-03-20,2023-12-22,2023-12-22 12:53:00
O001438,Silver Logistics Co. - Support Plan,A0174,S037,Support Plan,Inbound,Closed Won,1.0,6000.0,USD,2024-12-05,2025-02-05,2025-01-18,2025-01-18 16:16:00
O001238,Sahara Systems Inc. - Collaboration Tools,A0487,S016,Collaboration Tools,Inbound,Closed Lost,0.0,23200.0,USD,2023-04-14,2023-06-26,2023-09-05,2023-09-05 08:32:00
O001949,Prime Capital S.A. - Security Bundle,A0172,S009,Security Bundle,Outbound,Closed Lost,0.0,29200.0,USD,2025-05-06,2025-06-23,2025-06-16,2025-06-16 15:51:00
O001534,Delta Textiles GmbH - Collaboration Tools,A0495,S030,Collaboration Tools,Outbound,Closed Lost,0.0,8300.0,USD,2025-03-26,2025-05-19,2025-05-19,2025-05-19 18:23:00
O000694,Pioneer Pharma Holdings - Cloud Suite,A0013,S022,Cloud Suite,Inbound,Closed Won,1.0,16000.0,USD,2024-11-15,2025-01-12,2025-02-26,2025-02-26 10:29:00
O000204,Prime Capital Co. - Collaboration Tools,A0418,S038,Collaboration Tools,Referral,CLOSED LOST,0.0,22800.0,USD,2025-04-26,2025-07-02,2025-05-27,2025-05-27 12:41:00
O001925,Delta Markets GmbH - Collaboration Tools,A0439,S022,Collaboration Tools,Event,Closed Lost,0.0,3500.0,USD,2024-10-14,2025-01-18,2024-10-30,2024-10-30 09:58:00
O002465,Atlas Capital Inc. - Cloud Suite,A0218,S010,Cloud Suite,Event,Closed Lost,0.0,12500.0,USD,2025-02-09,2025-04-11,2025-03-05,2025-03-05 09:14:00
O002107,Lumen Consulting Inc. - Support Plan,A0211,S032,Support Plan,Outbound,Prospecting,0.1,5400.0,USD,2025-06-26,2025-09-11,,2025-06-24 11:26:00
O001300,Sahara Capital Holdings - Cloud Suite,A0101,S014,Cloud Suite,Inbound,Closed Won,1.0,88600.0,USD,2024-04-17,2024-07-07,2024-07-05,2024-07-05 09:38:00
O001469,Cedar Studios S.A. 383 - Support Plan,A0384,S024,Support Plan,Referral,Closed Lost,0.0,7900.0,USD,2025-04-08,2025-07-30,2025-05-02,2025-05-02 13:23:00
O001011,Silver Energy Co. - Collaboration Tools,A0499,S008,Collaboration Tools,Inbound,Closed Won,1.0,13800.0,USD,2023-08-18,2023-10-13,2023-10-11,2023-10-11 16:50:00
O002556,Falcon Logistics Ltd - Analytics Platform,A0459,S037,Analytics Platform,Partner,Closed Lost,0.0,44800.0,USD,2023-11-24,2024-03-14,2024-02-23,2024-02-23 16:32:00
O001374,Nile Capital Co. - Support Plan,A0067,S020,Support Plan,Partner,Closed Lost,0.0,5100.0,USD,2024-05-27,2024-08-06,2024-07-26,2024-07-26 14:19:00
O001197,Falcon Industries Holdings - Collaboration Tools,A0093,S003,Collaboration Tools,Inbound,Closed Lost,0.0,26500.0,USD,2024-02-25,2024-06-12,2024-04-08,2024-04-08 18:47:00
O000247,Summit Media Group - Collaboration Tools,A0170,S031,Collaboration Tools,Inbound,Closed Lost,0.0,20700.0,USD,2024-11-20,2025-02-18,2024-12-15,2024-12-15 08:35:00
O000728,Pioneer Labs Ltd - Analytics Platform,A0447,S023,Analytics Platform,Referral,Closed Lost,0.0,19400.0,USD,2023-09-19,27/11/2023,2023-09-26,2023-09-26 13:43:00
O000212,Nile Studios Co. - Security Bundle,A0296,S001,Security Bundle,Event,Closed Won,1.0,12500.0,USD,2024-08-22,2024-10-16,2024-10-14,2024-10-14 12:07:00
O000333,Coral Textiles Holdings - Security Bundle,A0019,S004,Security Bundle,Inbound,Proposal,0.5,,USD,2025-04-14,2025-08-03,,2025-06-26 18:06:00
O002127,Zenith Freight Ltd - Cloud Suite,A0270,S028,Cloud Suite,Referral,Closed Lost,0.0,23000.0,USD,2023-09-07,2023-11-08,2023-10-29,2023-10-29 08:07:00
O001841,Harbor Studios Holdings - Analytics Platform,A0110,S035,Analytics Platform,Partner,Closed Won,1.0,42100.0,USD,2025-03-21,2025-06-19,2025-04-30,2025-04-30 10:25:00
O000195,Delta Health S.A. - Cloud Suite,A0077,S021,Cloud Suite,Partner,Closed Won,1.0,57600.0,USD,2023-05-18,2023-07-30,2023-11-03,2023-11-03 18:07:00
O000052,Granite Retail GmbH - Cloud Suite,A0126,S035,Cloud Suite,Outbound,Closed Lost,0.0,12300.0,USD,2023-02-02,2023-03-23,2023-02-19,2023-02-19 10:15:00
O002804,Delta Capital Group - Cloud Suite,A0490,S036,Cloud Suite,Inbound,Closed Won,1.0,11200.0,USD,2025-02-07,2025-05-20,2025-03-07,2025-03-07 13:40:00
O000189,Prime Motors GmbH - Security Bundle,A0441,S009,Security Bundle,Outbound,Closed Lost,0.0,20200.0,USD,2024-03-06,2024-05-08,2024-06-07,2024-06-07 09:33:00
O000045,Zenith Media S.A. - Collaboration Tools,A0276,S028,Collaboration Tools,Inbound,Closed Won,1.0,4200.0,USD,2023-11-24,2024-01-22,2024-01-17,2024-01-17 13:23:00
O001101,North Motors S.A. - Cloud Suite,A0094,S009,Cloud Suite,Partner,Proposal,0.5,24000.0,USD,2025-05-25,2025-07-14,,2025-06-27 13:01:00
O001615,North Pharma Group - Cloud Suite,A0340,S027,Cloud Suite,Outbound,Negotiation,0.75,35500.0,USD,2025-04-13,2025-06-11,,2025-06-26 17:58:00
O001642,Lumen Motors S.A. - Cloud Suite,A0341,S035,Cloud Suite,Outbound,Closed Lost,0.0,19100.0,USD,2025-02-25,2025-06-02,2025-04-06,2025-04-06 10:55:00
O001581,Prime Pharma Group - Collaboration Tools,A0327,S011,Collaboration Tools,Partner,Prospecting,0.1,15200.0,USD,2025-06-20,2025-09-26,,2025-06-26 16:28:00
O000193,Coral Retail Inc. - Collaboration Tools,A0012,S008,Collaboration Tools,Inbound,Closed Lost,0.0,9100.0,USD,2025-06-13,2025-08-05,2025-06-23,2025-06-23 16:17:00
O000185,Blue Learning Inc. - Collaboration Tools,A0054,S032,Collaboration Tools,Outbound,Closed Lost,0.0,17400.0,USD,2023-04-11,2023-07-21,2023-05-14,2023-05-14 12:17:00
O000583,Silver Foods LLC - Support Plan,A0065,S025,Support Plan,Outbound,Closed Lost,0.0,8100.0,USD,2023-09-24,2023-12-19,2023-12-14,2023-12-14 10:41:00
O002109,Pioneer Media Ltd - Cloud Suite,A0076,S026,Cloud Suite,Partner, Closed Lost ,0.0,31900.0,USD,2023-10-13,2023-12-10,2023-12-09,2023-12-09 12:23:00
O000140,Granite Systems GmbH - Collaboration Tools,A0484,S037,Collaboration Tools,Outbound,Closed Won,1.0,8800.0,USD,2024-08-31,2024-11-07,2024-10-05,2024-10-05 16:03:00
O002877,Cedar Clinics Co. - Cloud Suite,A0074,S029,Cloud Suite,Inbound,Closed Lost,0.0,16400.0,USD,2024-11-13,2025-02-04,2025-01-12,2025-01-12 08:40:00
O000175,Zenith Studios Inc. - Support Plan,A0030,S033,Support Plan,Partner,Closed Lost,0.0,24600.0,USD,2024-09-28,2024-11-23,2024-11-18,2024-11-18 14:00:00
O001076,Nile Pharma Ltd - Security Bundle,A0118,S002,Security Bundle,Outbound,Closed Won,1.0,33600.0,USD,2024-10-30,2025-01-08,2025-01-13,2025-01-13 13:42:00
O002067,Vertex Logistics GmbH - Collaboration Tools,A0162,S010,Collaboration Tools,Inbound,Closed Won,1.0,6900.0,USD,2024-02-14,2024-04-27,2024-05-22,2024-05-22 11:53:00
O001321,Zenith Media S.A. - Security Bundle,A0276,S028,Security Bundle,Referral,Qualification,0.25,20900.0,USD,2025-06-12,2025-08-03,,2025-06-30 13:52:00
O000479,Pioneer Industries LLC - Analytics Platform,A0373,S032,Analytics Platform,Event,Closed Lost,0.0,36700.0,USD,2023-05-08,2023-07-12,2023-06-14,2023-06-14 11:33:00
O000103,Nile Media Group - Security Bundle,A0348,S005,Security Bundle,Inbound,Closed Lost,0.0,16500.0,USD,2025-02-17,2025-06-07,2025-03-27,2025-03-27 14:30:00
O002148,Pioneer Systems Group - Security Bundle,A0461,S016,Security Bundle,Inbound,Prospecting,0.1,27800.0,USD,2025-06-21,2025-09-18,,2025-06-26 12:10:00
O002662,Nova Clinics GmbH 317 - Collaboration Tools,A0318,S027,Collaboration Tools,Inbound,Closed Won,1.0,12700.0,USD,2025-02-20,2025-05-15,2025-06-20,2025-06-20 17:29:00
O000300,Summit Consulting LLC - Support Plan,A0196,S022,Support Plan,Partner,Closed Won,1.0,5000.0,USD,2023-02-15,2023-06-01,2023-03-01,2023-03-01 11:32:00
O001533,Coral Textiles GmbH - Support Plan,A0317,S021,Support Plan,Partner,Closed Won,1.0,9900.0,USD,2025-04-23,2025-08-19,2025-06-18,2025-06-18 12:28:00
O001504,Nile Logistics Holdings - Security Bundle,A0390,S023,Security Bundle,Referral,Closed Won,1.0,7600.0,USD,2023-03-09,2023-04-28,2023-04-03,2023-04-03 13:59:00
O001554,Atlas Markets Holdings - Analytics Platform,A0285,S034,Analytics Platform,Event,Closed Lost,0.0,16500.0,USD,2024-03-01,2024-06-11,2024-04-16,2024-04-16 18:18:00
O000344,Vertex Clinics Inc. - Support Plan,A0431,S008,Support Plan,Outbound,Closed Won,1.0,5100.0,USD,2024-10-25,2024-12-27,2024-12-13,2024-12-13 12:49:00
O002852,North Freight LLC - Security Bundle,A0016,S024,Security Bundle,Outbound,Closed Lost,0.0,25500.0,USD,2024-12-31,2025-03-18,2025-02-14,2025-02-14 16:07:00
O002117,Prime Systems S.A. - Analytics Platform,A0320,S039,Analytics Platform,Partner,Prospecting,0.1,27700.0,USD,2025-06-21,2025-10-08,,2025-06-28 11:12:00
O001331,Vertex Textiles Co. - Cloud Suite,A0204,S005,Cloud Suite,Partner,Prospecting,0.1,23000.0,USD,2025-06-18,2025-09-06,,2025-06-26 16:44:00
O002965,Silver Industries Ltd - Collaboration Tools,A0394,S022,Collaboration Tools,Event,Closed  Won,1.0,,USD,2025-03-25,2025-06-28,2025-05-07,2025-05-07 08:19:00
O000556,Orbit Consulting Holdings - Security Bundle,A0397,S020,Security Bundle,Outbound,Closed Lost,0.0,10000.0,USD,2024-06-09,2024-07-26,2024-06-30,2024-06-30 18:02:00
O002708,Nile Labs LLC - Cloud Suite,A0150,S001,Cloud Suite,Partner,Closed Won,1.0,21100.0,USD,2023-09-21,2023-11-20,2023-12-10,2023-12-10 17:43:00
O001874,Orbit Capital GmbH - Cloud Suite,A0243,S009,Cloud Suite,Inbound,Closed Lost,0.0,17200.0,USD,2023-08-06,2023-12-10,2023-09-17,2023-09-17 12:48:00
O002099,Silver Foods LLC - Collaboration Tools,A0065,S025,Collaboration Tools,Partner,Negotiation,0.75,15900.0,USD,2025-04-24,2025-06-27,,2025-06-27 17:53:00
O000777,Sahara Learning S.A. 113 - Analytics Platform,A0114,S017,Analytics Platform,Outbound,Prospecting,0.1,15300.0,USD,2025-06-27,2025-08-31,,2025-06-28 17:13:00
O001208,Falcon Foods Group - Cloud Suite,A0106,S019,Cloud Suite,Outbound,Closed Lost,0.0,10500.0,usd,2024-08-09,2024-11-16,2024-09-23,2024-09-23 09:03:00
O001033,Vertex Clinics Inc. - Support Plan,A0431,S008,Support Plan,Event,Closed Won,1.0,5000.0,USD,2025-02-18,2025-06-25,2025-04-07,2025-04-07 08:39:00
O000252,Coral Motors Co. - Cloud Suite,A0295,S016,Cloud Suite,Partner,Closed Lost,0.0,37000.0,USD,2024-05-24,2024-09-26,2024-08-21,2024-08-21 14:26:00
O001069,North Freight LLC - Support Plan,A0016,S024,Support Plan,Event,Closed Lost,0.0,14000.0,USD,2024-07-30,2024-10-24,2024-10-08,2024-10-08 17:06:00
O000299,Nova Clinics GmbH 317 - Cloud Suite,A0318,S027,Cloud Suite,Inbound,Prospecting,0.1,9800.0,USD,2025-06-18,2025-08-26,,2025-06-30 10:24:00
O000053,Coral Labs LLC - Collaboration Tools,A0407,S002,Collaboration Tools,Inbound,Closed Won,1.0,17100.0,USD,2025-03-05,2025-07-06,2025-06-27,2025-06-27 15:40:00
O001318,Atlas Textiles GmbH - Support Plan,A0232,S016,Support Plan,Partner,Closed Lost,0.0,10900.0,USD,2025-02-11,2025-05-01,2025-03-23,2025-03-23 12:49:00
O000145,Silver Industries Group - Collaboration Tools,A0225,S001,Collaboration Tools,Outbound,Closed Won,1.0,10300.0,USD,2023-05-21,2023-07-09,2023-06-28,2023-06-28 08:46:00
O000267,Granite Capital LLC - Cloud Suite,A0212,S038,Cloud Suite,Referral,Closed Won,1.0,16900.0,USD,2023-08-17,2023-12-15,2023-12-21,2023-12-21 17:03:00
O000290,Vertex Studios Co. - Analytics Platform,A0011,S019,Analytics Platform,Inbound,Closed Lost,0.0,27000.0,USD,2025-03-20,2025-05-31,2025-05-07,2025-05-07 08:23:00
O002728,Sahara Pharma GmbH - Analytics Platform,A0453,S026,Analytics Platform,Partner,Closed Lost,0.0,24000.0,USD,2024-04-11,2024-06-10,2024-06-17,2024-06-17 10:03:00
O002120,Pioneer Industries GmbH - Cloud Suite,A0113,S040,Cloud Suite,Partner,Closed Won,1.0,49600.0,USD,2024-02-04,2024-05-19,2024-04-02,2024-04-02 14:45:00
O000480,Atlas Learning LLC 488 - Analytics Platform,A0489,S007,Analytics Platform,Outbound,Closed Lost,0.0,19800.0,USD,2023-01-06,2023-02-28,2023-02-22,2023-02-22 10:08:00
O002461,Zenith Logistics Holdings - Cloud Suite,A0173,S012,Cloud Suite,Outbound,Closed Lost,0.0,12200.0,USD,2023-02-28,2023-05-28,2023-05-31,2023-05-31 17:13:00
O002177,Nile Freight GmbH - Analytics Platform,A0458,S040,Analytics Platform,Inbound,Closed Lost,0.0,20700.0,USD,2025-03-30,2025-05-16,2025-04-23,2025-04-23 15:18:00
O002886,Blue Industries Group - Security Bundle,A0214,S029,Security Bundle,Outbound,Prospecting,0.1,28900.0,USD,2025-06-18,2025-09-29,,2025-06-25 17:52:00
O000323,North Textiles GmbH - Security Bundle,A0165,S012,Security Bundle,Event,Closed Won,1.0,35000.0,USD,2024-09-02,2024-12-28,2024-10-31,2024-10-31 18:52:00
O002819,Nova Textiles Inc. 258 - Analytics Platform,A0259,S002,Analytics Platform,Partner,Closed Lost,0.0,31900.0,USD,2025-02-17,2025-06-11,2025-06-01,2025-06-01 18:11:00
O002372,Prime Hotels LLC 96 - Cloud Suite,A0097,S002,Cloud Suite,Event,Closed Won,1.0,21600.0,USD,2023-04-16,2023-06-22,2023-06-13,2023-06-13 15:13:00
O000001,Silver Markets Inc. - Cloud Suite,A0272,S011,Cloud Suite,Partner,Prospecting,0.1,10700.0,USD,2025-06-24,2025-08-30,,2025-06-27 13:08:00
O000412,Coral Health LLC - Cloud Suite,A0059,S035,Cloud Suite,Inbound,Closed Won,1.0,16900.0,USD,2025-02-27,2025-04-30,2025-05-29,2025-05-29 08:41:00
O000786,Silver Capital LLC - Support Plan,A0236,S027,Support Plan,Outbound,Closed Lost,0.0,4300.0,USD,2023-09-05,2023-10-26,2023-09-20,2023-09-20 08:34:00
O002103,Zenith Energy LLC - Analytics Platform,A0088,S013,Analytics Platform,Referral,Closed Lost,0.0,39900.0,USD,2023-07-24,2023-10-16,2023-09-04,2023-09-04 13:40:00
O000558,Sahara Industries Inc. - Analytics Platform,A0379,S036,Analytics Platform,Event,Closed Lost,0.0,27000.0,USD,2025-02-08,2025-04-04,2025-04-28,2025-04-28 14:16:00
O002745,Silver Media S.A. - Security Bundle,A0398,S025,Security Bundle,Partner,Negotiation,0.75,52200.0,USD,2025-05-17,2025-07-01,,2025-06-26 08:27:00
O001324,Cedar Markets GmbH - Cloud Suite,A0064,S023,Cloud Suite,Partner,Closed Lost,0.0,12400.0,USD,2024-04-17,2024-07-10,2024-05-12,2024-05-12 08:41:00
O002704,Harbor Labs Ltd - Analytics Platform,A0435,S011,Analytics Platform,Inbound,Closed Won,1.0,8600.0,USD,2024-07-10,2024-10-22,2024-09-17,2024-09-17 10:34:00
O001968,Vertex Media GmbH - Collaboration Tools,A0292,S029,Collaboration Tools,Inbound,Closed Lost,0.0,18400.0,USD,2023-06-09,2023-10-05,2023-07-04,2023-07-04 08:37:00
O000706,Nile Pharma Ltd - Analytics Platform,A0118,S002,Analytics Platform,Partner,Closed Won,1.0,16400.0,USD,2023-06-28,2023-08-14,2023-09-24,2023-09-24 12:32:00
O000464,Sahara Textiles LLC - Analytics Platform,A0168,S034,Analytics Platform,Event,Closed Won,1.0,35000.0,USD,2024-04-04,2024-06-26,2024-05-29,2024-05-29 16:46:00
O002742,Lumen Consulting Holdings - Cloud Suite,A0039,S012,Cloud Suite,Outbound,Closed Lost,0.0,21500.0,USD,2023-12-13,2024-02-27,2024-03-03,2024-03-03 08:55:00
O000315,Pioneer Systems LLC - Analytics Platform,A0393,S009,Analytics Platform,Referral,Proposal,0.5,47400.0,USD,2025-04-08,2025-08-10,,2025-06-26 09:24:00
O000033,Granite Textiles Group - Analytics Platform,A0399,S019,Analytics Platform,Outbound,Closed Lost,0.0,15800.0,USD,2023-09-03,2023-11-08,2023-09-19,2023-09-19 10:57:00
O000507,Harbor Studios S.A. - Analytics Platform,A0265,S002,Analytics Platform,Partner,Closed Won,1.0,90700.0,USD,2024-07-25,2024-10-20,2024-11-25,2024-11-25 11:55:00
O002460,North Media Co. - Analytics Platform,A0052,S003,Analytics Platform,Inbound,Prospecting,0.1,70100.0,USD,2025-06-24,2025-10-12,,2025-06-30 13:33:00
O000015,Summit Media Group 359 - Analytics Platform,A0360,S040,Analytics Platform,Inbound,Closed Lost,0.0,29400.0,usd,2024-06-04,2024-08-08,2024-09-12,2024-09-12 14:19:00
O000094,Prime Systems Inc. - Analytics Platform,A0424,S011,Analytics Platform,Inbound,Closed Won,1.0,15900.0,USD,2025-05-01,2025-08-13,2025-06-29,2025-06-29 09:42:00
O001081,Prime Systems S.A. - Cloud Suite,A0320,S011,Cloud Suite,Inbound,Closed Lost,0.0,12800.0,USD,2025-04-09,2025-07-19,2025-05-12,2025-05-12 18:54:00
O000241,Harbor Studios Group - Cloud Suite,A0309,S031,Cloud Suite,Partner,Closed Lost,0.0,14300.0,USD,2023-03-04,2023-05-29,2023-06-01,2023-06-01 16:47:00
O001134,Delta Labs LLC - Security Bundle,A0363,S020,Security Bundle,Inbound,Closed Lost,0.0,14800.0,USD,2024-10-27,2024-12-22,2024-12-22,2024-12-22 17:46:00
O001445,Atlas Capital Inc. - Collaboration Tools,A0218,S010,Collaboration Tools,Inbound,Closed Lost,0.0,7800.0,USD,2024-11-12,2025-01-15,2025-01-16,2025-01-16 08:40:00
O000271,Summit Motors Group - Support Plan,A0021,S023,Support Plan,Outbound,Closed Lost,0.0,5700.0,USD,2024-10-10,2024-12-27,2024-10-30,2024-10-30 09:07:00
O002838,Lumen Retail Co. - Analytics Platform,A0410,S008,Analytics Platform,Outbound,Closed Lost,0.0,17500.0,USD,2024-03-11,2024-06-24,2024-04-20,2024-04-20 09:02:00
O002341,Orbit Capital GmbH - Security Bundle,A0243,S009,Security Bundle,Referral,Closed Won,1.0,19400.0,USD,2023-09-28,2023-12-10,2023-11-30,2023-11-30 15:06:00
O002634,Silver Consulting LLC - Security Bundle,A0148,S022,Security Bundle,Partner,Closed Lost,0.0,15700.0,USD,2025-05-12,2025-08-11,2025-06-24,2025-06-24 18:03:00
O002342,Lumen Capital S.A. 469 - Cloud Suite,A0470,S023,Cloud Suite,Partner,Closed Lost,0.0,37800.0,USD,2025-03-22,2025-06-07,2025-05-09,2025-05-09 16:04:00
O000898,Nova Textiles Inc. - Security Bundle,A0151,S005,Security Bundle,Partner,Closed Lost,0.0,25100.0,USD,2024-11-13,2025-02-25,2025-01-29,2025-01-29 13:03:00
O000806,Prime Pharma Group - Cloud Suite,A0327,S011,Cloud Suite,Outbound,Closed Lost,0.0,8500.0,USD,2023-03-10,2023-05-22,2023-06-01,2023-06-01 18:01:00
O001433,Sahara Hotels Co. - Analytics Platform,A0251,S020,Analytics Platform,Partner,Closed Won,1.0,12000.0,USD,2024-04-08,2024-07-24,2024-05-28,2024-05-28 10:19:00
O000930,Sahara Textiles LLC - Security Bundle,A0168,S034,Security Bundle,Inbound,Closed Lost,0.0,6900.0,USD,2025-01-02,2025-03-21,2025-03-23,2025-03-23 15:15:00
O001831,Prime Industries Group - Cloud Suite,A0171,S021,Cloud Suite,Referral, Closed Won ,1.0,15300.0,USD,2023-10-25,2023-12-30,2024-01-16,2024-01-16 17:50:00
O000904,Delta Markets GmbH - Cloud Suite,A0439,S022,Cloud Suite,Outbound,Closed Lost,0.0,18800.0,USD,2023-09-01,2023-10-25,2023-10-16,2023-10-16 18:30:00
O001624,Prime Labs Holdings - Analytics Platform,A0024,S019,Analytics Platform,Outbound,Closed Lost,0.0,19300.0,USD,2024-12-14,2025-02-03,2025-02-22,2025-02-22 16:08:00
O000810,Coral Capital GmbH - Analytics Platform,A0220,S002,Analytics Platform,Partner,Qualification,0.25,48600.0,USD,2025-06-08,2025-08-01,,2025-06-26 14:31:00
O001611,Nova Learning Holdings - Analytics Platform,A0500,S029,Analytics Platform,Outbound,Closed Lost,0.0,28300.0,USD,2024-11-22,2025-01-24,2024-12-06,2024-12-06 09:00:00
O001613,Granite Retail S.A. 223 - Cloud Suite,A0224,S025,Cloud Suite,Partner,Closed Lost,0.0,12000.0,USD,2023-08-16,2023-10-24,2023-12-05,2023-12-05 17:00:00
O001427,Atlas Capital Co. - Support Plan,A0130,S002,Support Plan,Inbound,Prospecting,0.1,13400.0,USD,2025-06-11,2025-09-13,,2025-06-29 08:42:00
O001588,Granite Systems GmbH - Collaboration Tools,A0484,S037,Collaboration Tools,Event,Closed Lost,0.0,11500.0,USD,2024-05-29,2024-07-30,2024-07-08,2024-07-08 18:54:00
O002528,Pioneer Pharma Inc. - Collaboration Tools,A0376,S035,Collaboration Tools,Inbound,Closed Won,1.0,6600.0,USD,2024-02-02,2024-06-02,2024-03-31,2024-03-31 11:42:00
O000369,Silver Foods LLC - Analytics Platform,A0065,S025,Analytics Platform,Outbound,Closed Lost,0.0,77800.0,USD,2025-01-22,2025-05-14,2025-04-01,2025-04-01 08:48:00
O000790,Nile Freight GmbH - Cloud Suite,A0458,S040,Cloud Suite,Inbound,Closed Lost,0.0,57400.0,USD,2024-03-26,2024-06-03,2024-05-28,2024-05-28 17:24:00
O001872,Summit Freight Ltd - Collaboration Tools,A0109,S011,Collaboration Tools,Outbound,Closed Won,1.0,4600.0,USD,2024-09-14,2024-12-19,2024-11-29,2024-11-29 11:28:00
O001928,Sahara Learning S.A. 113 - Security Bundle,A0114,S017,Security Bundle,Referral,Closed Won,1.0,24400.0,USD,2024-01-22,2024-03-07,2024-02-17,2024-02-17 17:28:00
O001174,Atlas Motors Inc. - Cloud Suite,A0040,S011,Cloud Suite,Partner,Closed Lost,0.0,17700.0,USD,2024-03-09,2024-04-30,2024-05-02,2024-05-02 11:50:00
O000582,Nile Textiles Co. - Collaboration Tools,A0178,S016,Collaboration Tools,Inbound,Closed Lost,0.0,16200.0,USD,2025-03-05,2025-06-28,2025-04-05,2025-04-05 11:12:00
O000150,Silver Learning GmbH - Cloud Suite,A0395,S028,Cloud Suite,Partner,Closed Lost,0.0,18500.0,USD,2023-12-10,2024-01-26,2023-12-31,2023-12-31 15:39:00
