activity_id,opportunity_id,seller_id,activity_type,activity_ts,duration_minutes
ACT0000163,O000026,S028,Email,2023-08-06 14:19:00,0
ACT0000164,O000026,S028,Email,2023-08-21 08:48:00,0
ACT0000165,O000026,S028,Email,2023-08-21 16:53:00,0
ACT0000166,O000026,S028,Meeting,2023-08-02 09:58:00,47
ACT0000167,O000026,S028,Email,2023-08-11 11:34:00,0
ACT0000168,O000026,S028,Meeting,2023-08-12 18:53:00,37
ACT0000169,O000026,S028,Meeting,2023-08-14 10:13:00,69
ACT0000170,O000027,S005,Meeting,2025-02-15 14:04:00,80
ACT0000171,O000027,S005,Demo,2025-02-07 10:37:00,114
ACT0000172,O000027,S005,Call,2024-12-24 14:56:00,18
ACT0000173,O000028,S028,Call,2025-05-09 08:25:00,36
ACT0000174,O000028,S028,Call,2025-05-30 08:26:00,44
ACT0000175,O000028,S028,Email,2025-06-09 15:58:00,0
ACT0000176,O000028,S028,Email,2025-06-02 11:44:00,0
ACT0000177,O000028,S028,Demo,2025-06-21 16:39:00,58
ACT0000178,O000028,S028,Email,2025-06-07 08:19:00,0
ACT0000179,O000028,S028,Call,2025-04-30 14:20:00,6
ACT0000180,O000029,S039,Email,2023-02-04 08:02:00,0
ACT0000181,O000029,S039,Email,2023-02-04 15:52:00,0
ACT0000182,O000029,S039,Email,2023-01-30 12:35:00,0
ACT0000183,O000030,S003,Call,2024-12-01 15:03:00,37
ACT0000184,O000030,S003,Email,2024-12-06 11:37:00,0
ACT0000185,O000030,S003,Call,2024-11-13 16:31:00,10
ACT0000186,O000030,S003,Email,2024-12-17 15:56:00,0
ACT0000187,O000031,S030,Meeting,2025-06-30 14:41:00,53
ACT0000188,O000031,S030,Meeting,2025-06-26 10:00:00,72
ACT0000189,O000031,S030,Call,2025-06-17 17:27:00,17
ACT0000190,O000032,S008,Call,2024-12-30 13:52:00,17
ACT0000191,O000032,S008,Email,2024-12-31 16:15:00,0
ACT0000192,O000032,S008,Call,2024-12-05 12:28:00,38
ACT0000193,O000032,S008,Call,2024-11-29 08:08:00,31
ACT0000194,O000032,S008,Email,2024-11-28 08:10:00,0
ACT0000195,O000032,S008,Call,2024-12-01 12:38:00,37
ACT0000196,O000032,S008,Call,2024-12-12 11:21:00,8
ACT0000197,O000032,S008,Call,2024-12-25 18:00:00,30
ACT0000198,O000032,S008,Call,2024-12-07 14:15:00,9
ACT0000199,O000033,S019,Call,2023-09-18 09:32:00,10
ACT0000200,O000033,S019,Call,2023-09-05 15:10:00,24
ACT0000201,O000033,S019,Call,2023-09-08 08:15:00,38
ACT0000202,O000033,S019,Email,2023-09-13 08:21:00,0
ACT0000203,O000033,S019,Demo,2023-09-17 12:33:00,73
ACT0000204,O000033,S019,Email,2023-09-18 08:50:00,0
ACT0000205,O000033,S019,Call,2023-09-13 09:15:00,28
ACT0000206,O000034,S040,Call,2023-08-22 16:47:00,18
ACT0000207,O000034,S040,Email,2023-08-14 15:44:00,0
ACT0000208,O000034,S040,Meeting,2023-08-02 14:14:00,80
ACT0000209,O000034,S040,Email,2023-07-17 13:49:00,0
ACT0000210,O000034,S040,Email,2023-10-13 10:11:00,0
ACT0000211,O000034,S040,Call,2023-09-01 18:42:00,26
ACT0000212,O000034,S040,Email,2023-10-14 08:24:00,0
ACT0000213,O000034,S040,Email,2023-09-23 11:24:00,0
ACT0000214,O000034,S040,Email,2023-07-17 16:11:00,0
ACT0000215,O000035,S007,Email,2025-04-21 16:24:00,0
ACT0000216,O000035,S007,Meeting,2025-05-15 16:41:00,76
ACT0000217,O000035,S007,Email,2025-04-28 17:29:00,0
ACT0000218,O000035,S007,Meeting,2025-03-25 09:42:00,46
ACT0000219,O000035,S007,Email,2025-05-31 15:17:00,0
ACT0000220,O000035,S007,Meeting,2025-05-18 10:15:00,67
ACT0000221,O000035,S007,Call,2025-05-15 13:29:00,31
ACT0000222,O000036,S021,Call,2025-05-30 14:38:00,20
ACT0000223,O000036,S021,Call,2025-05-29 12:35:00,25
ACT0000224,O000036,S021,Call,2025-06-09 10:04:00,8
ACT0000225,O000036,S021,Call,2025-05-14 17:36:00,25
ACT0000226,O000036,S021,Call,2025-06-30 13:02:00,44
ACT0000227,O000036,S021,Email,2025-06-08 18:27:00,0
ACT0000228,O000037,S009,Email,2023-04-12 15:38:00,0
ACT0000229,O000037,S009,Call,2023-04-26 08:16:00,23
ACT0000230,O000037,S009,Demo,2023-04-12 16:15:00,101
ACT0000231,O000037,S009,Demo,2023-04-14 10:24:00,74
ACT0000232,O000038,S022,Call,2024-10-31 12:42:00,30
ACT0000233,O000038,S022,Email,2024-11-02 15:08:00,0
ACT0000234,O000038,S022,Call,2024-10-03 13:10:00,12
ACT0000235,O000038,S022,Demo,2024-10-12 18:33:00,100
ACT0000236,O000038,S022,Demo,2024-11-10 13:14:00,56
ACT0000237,O000038,S022,Call,2024-11-04 17:10:00,15
ACT0000238,O000038,S022,Email,2024-10-11 17:31:00,0
ACT0000239,O000038,S022,Email,2024-10-26 11:59:00,0
ACT0000240,O000038,S022,Call,2024-10-29 08:44:00,41
ACT0000241,O000039,S016,Call,2025-03-09 15:52:00,9
ACT0000242,O000039,S016,Email,2025-02-19 10:33:00,0
ACT0000243,O000039,S016,Call,2025-03-16 14:28:00,5
ACT0000244,O000040,S005,Demo,2024-09-23 09:34:00,69
ACT0000245,O000040,S005,Call,2024-10-30 08:53:00,13
ACT0000246,O000040,S005,Call,2024-11-05 16:01:00,21
ACT0000247,O000040,S005,Meeting,2024-11-02 14:43:00,32
ACT0000248,O000040,S005,Email,2024-09-23 16:31:00,0
ACT0000249,O000040,S005,Email,2024-11-06 17:02:00,0
ACT0000250,O000040,S005,Email,2024-10-23 11:02:00,0
ACT0000251,O000041,S009,Meeting,2025-05-30 15:33:00,33
ACT0000252,O000041,S009,Call,2025-06-03 15:50:00,9
ACT0000253,O000041,S009,Call,2025-06-21 13:24:00,36
ACT0000254,O000041,S009,Call,2025-06-22 11:20:00,11
ACT0000255,O000041,S009,Email,2025-05-27 15:13:00,0
ACT0000256,O000041,S009,Email,2025-05-06 18:49:00,0
ACT0000257,O000041,S009,Email,2025-05-15 09:59:00,0
ACT0000258,O000042,S004,Call,2024-03-12 13:09:00,31
ACT0000259,O000042,S004,Meeting,2024-03-15 13:06:00,49
ACT0000260,O000042,S004,Call,2024-03-04 10:07:00,6
ACT0000261,O000042,S004,Email,2024-02-28 08:01:00,0
ACT0000262,O000042,S004,Call,2024-03-01 09:53:00,23
ACT0000263,O000043,S002,Meeting,2025-05-12 08:01:00,62
ACT0000264,O000043,S002,Call,2025-05-16 16:31:00,10
ACT0000265,O000043,S002,Email,2025-04-05 08:49:00,0
ACT0000266,O000043,S002,Call,2025-03-12 08:16:00,21
ACT0000267,O000044,S017,Email,2024-08-12 17:15:00,0
ACT0000268,O000044,S017,Call,2024-07-24 10:02:00,13
ACT0000269,O000044,S017,Email,2024-07-17 12:50:00,0
ACT0000270,O000044,S017,Email,2024-07-19 08:32:00,0
ACT0000271,O000044,S017,Call,2024-08-01 16:18:00,29
ACT0000272,O000044,S017,Call,2024-08-05 16:14:00,11
ACT0000273,O000044,S017,Call,2024-07-22 10:31:00,31
ACT0000274,O000044,S017,Call,2024-07-28 08:22:00,37
ACT0000275,O000044,S017,Email,2024-07-27 10:45:00,0
ACT0000276,O000044,S017,Call,2024-07-30 08:11:00,29
ACT0000277,O000044,S017,Demo,2024-07-15 10:00:00,48
ACT0000278,O000044,S017,Email,2024-07-15 11:42:00,0
ACT0000279,O000044,S017,Call,2024-07-15 10:21:00,20
ACT0000280,O000045,S028,Call,2023-11-28 18:41:00,41
ACT0000281,O000045,S028,Call,2023-12-29 13:51:00,39
ACT0000282,O000045,S028,Meeting,2023-12-16 15:40:00,41
ACT0000283,O000045,S028,Call,2024-01-09 17:13:00,17
ACT0000284,O000045,S028,Call,2023-11-24 08:15:00,36
ACT0000285,O000045,S028,Demo,2023-12-11 14:43:00,57
ACT0000286,O000046,S029,Email,2025-01-01 14:22:00,0
ACT0000287,O000046,S029,Demo,2025-01-05 15:41:00,65
ACT0000288,O000046,S029,Meeting,2024-12-30 13:37:00,34
ACT0000289,O000046,S029,Email,2025-01-02 12:21:00,0
ACT0000290,O000046,S029,Email,2025-01-04 10:59:00,0
ACT0000291,O000047,S005,Call,2024-12-24 15:18:00,43
ACT0000292,O000047,S005,Call,2024-09-17 18:26:00,38
ACT0000293,O000047,S005,Call,2024-12-04 18:45:00,38
ACT0000294,O000047,S005,Email,2024-12-09 09:06:00,0
ACT0000295,O000047,S005,Call,2024-09-18 18:06:00,42
ACT0000296,O000048,S017,Email,2025-06-14 15:02:00,0
ACT0000297,O000048,S017,Meeting,2025-06-15 10:04:00,63
ACT0000298,O000048,S017,Email,2025-06-16 17:05:00,0
ACT0000299,O000048,S017,Demo,2025-06-08 11:11:00,96
ACT0000300,O000048,S017,Meeting,2025-06-12 13:59:00,62
ACT0000301,O000049,S038,Meeting,2024-02-26 14:56:00,77
ACT0000302,O000049,S038,Meeting,2024-02-25 18:25:00,76
ACT0000303,O000049,S038,Email,2024-02-21 12:59:00,0
ACT0000304,O000049,S038,Email,2024-02-14 14:35:00,0
ACT0000305,O000049,S038,Call,2024-03-03 09:19:00,21
ACT0000306,O000049,S038,Call,2024-01-25 10:13:00,29
ACT0000307,O000049,S038,Email,2024-01-30 14:15:00,0
ACT0000308,O000049,S038,Demo,2024-02-11 14:41:00,110
ACT0000309,O000049,S038,Email,2024-02-06 13:00:00,0
ACT0000310,O000050,S016,Email,2024-09-03 10:12:00,0
ACT0000311,O000050,S016,Email,2024-06-19 12:33:00,0
ACT0000312,O000050,S016,Email,2024-05-24 11:12:00,0
ACT0000313,O000050,S016,Email,2024-06-21 10:54:00,0
ACT0000314,O000050,S016,Meeting,2024-08-26 18:30:00,31
ACT0000315,O000050,S016,Call,2024-06-20 17:23:00,16
ACT0000316,O000050,S016,Call,2024-07-18 13:39:00,28
ACT0000317,O000050,S016,Call,2024-07-02 15:58:00,35
ACT0000318,O000051,S021,Demo,2023-07-03 08:14:00,86
ACT0000319,O000051,S021,Email,2023-07-25 12:00:00,0
ACT0000320,O000051,S021,Call,2023-04-16 11:01:00,15
ACT0000321,O000051,S021,Meeting,2023-06-26 08:04:00,74
ACT0000322,O000051,S021,Email,2023-06-03 14:01:00,0
ACT0000323,O000051,S021,Call,2023-04-15 09:57:00,44
ACT0000324,O000051,S021,Email,2023-06-20 11:15:00,0
ACT0000325,O000051,S021,Call,2023-08-07 11:26:00,12
ACT0000326,O000051,S021,Email,2023-07-18 16:10:00,0
ACT0000327,O000051,S021,Call,2023-04-20 16:20:00,14
ACT0000328,O000052,S035,Meeting,2023-02-03 12:30:00,63
ACT0000329,O000052,S035,Email,2023-02-12 16:24:00,0
ACT0000330,O000052,S035,Call,2023-02-05 18:32:00,6
ACT0000331,O000052,S035,Call,2023-02-17 14:51:00,17
ACT0000332,O000052,S035,Email,2023-02-08 16:38:00,0
ACT0000333,O000052,S035,Email,2023-02-07 10:27:00,0
ACT0000334,O000052,S035,Email,2023-02-12 17:44:00,0
ACT0000335,O000052,S035,Meeting,2023-02-18 18:58:00,66
ACT0000336,O000053,S002,Call,2025-04-30 12:09:00,36
ACT0000337,O000053,S002,Email,2025-03-26 15:09:00,0
ACT0000338,O000054,S012,Email,2024-09-07 10:38:00,0
ACT0000339,O000054,S012,Demo,2024-09-16 08:30:00,101
ACT0000340,O000054,S012,Meeting,2024-09-22 08:07:00,72
ACT0000341,O000055,S036,Call,2023-09-04 13:52:00,5
ACT0000342,O000055,S036,Call,2023-10-21 14:16:00,31
ACT0000343,O000055,S036,Demo,2023-10-31 18:54:00,71
ACT0000344,O000055,S036,Email,2023-10-06 08:26:00,0
ACT0000345,O000056,S001,Email,2023-10-27 18:51:00,0
ACT0000346,O000056,S001,Call,2023-09-02 13:20:00,28
ACT0000347,O000056,S001,Call,2023-09-12 15:54:00,19
ACT0000348,O000056,S001,Email,2023-11-19 18:13:00,0
ACT0000349,O000056,S001,Meeting,2023-11-15 13:52:00,70
ACT0000350,O000056,S001,Demo,2023-10-02 16:56:00,59
ACT0000351,O000056,S001,Call,2023-09-22 13:08:00,34
ACT0000352,O000056,S001,Email,2023-09-08 09:56:00,0
ACT0000353,O000056,S001,Call,2023-11-19 08:42:00,44
ACT0000354,O000056,S001,Email,2023-10-10 18:02:00,0
ACT0000355,O000057,S036,Call,2023-02-22 08:42:00,8
ACT0000356,O000057,S036,Email,2023-02-26 18:26:00,0
ACT0000357,O000057,S036,Meeting,2023-02-15 08:07:00,37
ACT0000358,O000057,S036,Demo,2023-02-18 13:44:00,119
ACT0000359,O000057,S036,Email,2023-02-27 16:17:00,0
ACT0000360,O000057,S036,Call,2023-02-24 18:08:00,37
ACT0000361,O000058,S021,Call,2025-06-19 17:49:00,7
ACT0000362,O000058,S021,Email,2025-06-19 13:45:00,0
ACT0000363,O000058,S021,Email,2025-06-08 16:34:00,0
ACT0000364,O000059,S038,Call,2024-10-02 15:14:00,10
ACT0000365,O000059,S038,Call,2024-09-08 11:08:00,37
ACT0000366,O000059,S038,Email,2024-09-20 11:30:00,0
ACT0000367,O000059,S038,Call,2024-10-01 14:31:00,20
ACT0000368,O000059,S038,Demo,2024-11-07 16:25:00,94
ACT0000369,O000059,S038,Call,2024-11-17 08:28:00,12
ACT0000370,O000060,S026,Email,2023-05-03 17:07:00,0
ACT0000371,O000060,S026,Demo,2023-04-22 18:40:00,48
ACT0000372,O000060,S026,Email,2023-04-27 12:17:00,0
ACT0000373,O000060,S026,Email,2023-05-01 09:15:00,0
ACT0000374,O000060,S026,Email,2023-05-02 10:07:00,0
ACT0000375,O000060,S026,Email,2023-05-04 11:15:00,0
ACT0000376,O000060,S026,Meeting,2023-04-26 08:16:00,65
ACT0000377,O000061,S037,Email,2023-04-14 13:04:00,0
ACT0000378,O000061,S037,Email,2023-05-02 11:04:00,0
ACT0000379,O000061,S037,Call,2023-05-07 08:05:00,24
ACT0000380,O000061,S037,Call,2023-04-11 14:05:00,17
ACT0000381,O000061,S037,Call,2023-05-30 15:03:00,26
ACT0000382,O000061,S037,Email,2023-05-12 18:44:00,0
ACT0000383,O000061,S037,Email,2023-05-15 13:22:00,0
ACT0000384,O000062,S002,Email,2023-11-12 12:27:00,0
ACT0000385,O000062,S002,Email,2024-01-01 12:23:00,0
ACT0000386,O000062,S002,Call,2023-12-05 10:01:00,20
ACT0000387,O000062,S002,Email,2023-12-27 13:48:00,0
ACT0000388,O000062,S002,Meeting,2024-01-14 11:27:00,62
ACT0000389,O000063,S021,Meeting,2024-08-12 08:06:00,89
ACT0000390,O000063,S021,Call,2024-09-22 08:05:00,19
ACT0000391,O000063,S021,Call,2024-07-29 15:11:00,21
ACT0000392,O000063,S021,Call,2024-09-06 08:02:00,41
ACT0000393,O000063,S021,Email,2024-09-02 10:13:00,0
ACT0000394,O000063,S021,Call,2024-08-26 15:24:00,15
ACT0000395,O000063,S021,Email,2024-08-15 09:00:00,0
ACT0000396,O000063,S021,Email,2024-07-27 14:06:00,0
ACT0000397,O000063,S021,Call,2024-08-05 14:44:00,36
ACT0000398,O000063,S021,Meeting,2024-08-20 17:49:00,86
ACT0000399,O000063,S021,Meeting,2024-07-06 08:16:00,67
ACT0000400,O000064,S008,Demo,2025-04-24 18:13:00,80
ACT0000401,O000064,S008,Call,2025-04-16 18:31:00,10
ACT0000402,O000064,S008,Email,2025-02-24 15:54:00,0
ACT0000403,O000064,S008,Email,2025-05-10 16:27:00,0
ACT0000404,O000064,S008,Call,2025-03-15 09:58:00,7
ACT0000405,O000064,S008,Call,2025-05-17 10:02:00,21
ACT0000406,O000065,S005,Meeting,2024-05-12 14:08:00,70
ACT0000407,O000065,S005,Call,2024-06-21 12:04:00,6
ACT0000408,O000065,S005,Call,2024-05-15 18:24:00,15
ACT0000409,O000065,S005,Demo,2024-06-29 09:35:00,56
ACT0000410,O000066,S034,Call,2025-05-08 12:05:00,34
ACT0000411,O000066,S034,Email,2025-06-24 15:54:00,0
ACT0000412,O000066,S034,Meeting,2025-05-21 09:39:00,60
ACT0000413,O000066,S034,Call,2025-06-19 10:47:00,38
ACT0000414,O000067,S026,Email,2024-02-29 08:59:00,0
ACT0000415,O000067,S026,Call,2024-02-02 15:08:00,5
ACT0000416,O000067,S026,Email,2024-02-29 11:35:00,0
ACT0000417,O000067,S026,Call,2024-01-12 11:03:00,19
ACT0000418,O000067,S026,Call,2024-01-14 10:25:00,30
ACT0000419,O000068,S019,Email,2025-06-18 13:39:00,0
ACT0000420,O000068,S019,Call,2025-06-30 14:27:00,41
ACT0000421,O000068,S019,Call,2025-05-18 12:14:00,26
ACT0000422,O000068,S019,Email,2025-06-13 14:07:00,0
ACT0000423,O000068,S019,Email,2025-05-21 11:38:00,0
ACT0000424,O000068,S019,Call,2025-05-25 11:36:00,28
ACT0000425,O000068,S019,Call,2025-05-30 09:32:00,35
ACT0000426,O000068,S019,Call,2025-05-24 18:14:00,31
ACT0000427,O000068,S019,Call,2025-06-25 12:00:00,30
ACT0000428,O000068,S019,Email,2025-05-31 08:45:00,0
ACT0000429,O000068,S019,Email,2025-05-26 15:10:00,0
ACT0000430,O000069,S002,Email,2025-04-14 13:51:00,0
